Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Myiothlypis leucophrys,58.5,61.5,18.1,Mean,Parulidae,Passeriformes,23.7,62.6,60,60
Myiothlypis luteoviridis,62.87391304,66.70555556,12.9,Mean,Parulidae,Passeriformes,23,66.5,63.9,63.9
Myiothlypis nigrocristata,57.32,58,13.6,Mean,Parulidae,Passeriformes,22.5,61.5,58.2,58.2
Myiothlypis rivularis,52.63333333,58,13.5,Mean,Parulidae,Passeriformes,22.3,64.6,56.7,56.7
Myiothlypis signata,58.33636364,59.71,11.3,Mean,Parulidae,Passeriformes,23.6,58.5,59.4,59.4
Myiotriccus ornatus,38.5,44.625,9.9,Mean,Tyrannidae,Passeriformes,15,61.6,47.1,47.1
Myiozetetes cayanensis,68,73.42857143,25.9,Mean,Tyrannidae,Passeriformes,20.4,84.1,71.4,71.4
Myiozetetes granadensis,63.25,71,29.3,Mean,Tyrannidae,Passeriformes,17.8,86.6,66.8,66.8
Myiozetetes luteiventris,61.5,64,19,Mean,Tyrannidae,Passeriformes,14.8,73.6,62.6,62.6
Myiozetetes similis,67.67,69.72,28,Mean,Tyrannidae,Passeriformes,19.6,87,69.1,69.1
Myophonus blighi,71.5,79,66.6,Mean,Muscicapidae,Passeriformes,34.4,99.8,74,74
Myophonus borneensis,88,92.5,89.7,Mean,Muscicapidae,Passeriformes,45.8,143.8,90.2,90.2
Myophonus caeruleus,119,119,158,Mean,Muscicapidae,Passeriformes,49.9,169.4,119.4,119.4
Myophonus castaneus,81,84,89.7,Mean,Muscicapidae,Passeriformes,43.1,137.4,86.2,86.2
Myophonus glaucinus,87,85,89.7,Mean,Muscicapidae,Passeriformes,43,138.8,84.6,84.6
Myophonus horsfieldii,NA,115.5,117,Mean,Muscicapidae,Passeriformes,44.2,151.1,113.2,113.2
Myophonus insularis,NA,125,117,Mean,Muscicapidae,Passeriformes,51.7,156,116.6,116.6
Myophonus melanurus,89.33333333,84.33333333,66.6,Mean,Muscicapidae,Passeriformes,40,115.7,86.8,86.8
Myophonus robinsoni,NA,95,99.2,Mean,Muscicapidae,Passeriformes,44.4,140.2,95,95
Myornis senilis,61.56666667,64.5,21.2,Mean,Rhinocryptidae,Passeriformes,21.7,56.9,62.7,62.7
Myrmeciza longipes,53.075,53.18571429,27.9,Mean,Thamnophilidae,Passeriformes,29.2,64.8,53.1,53.1
Myrmecocichla aethiops,73.73333333,73.73333333,56.6,Mean,Muscicapidae,Passeriformes,35.1,111.7,73.1,73.1
Myrmecocichla arnotti,68.8,74.625,39.6,Mean,Muscicapidae,Passeriformes,28.5,101.1,71.5,71.5
Myrmecocichla formicivora,56.0625,58.42857143,41.6,Mean,Muscicapidae,Passeriformes,33.1,95.8,57.2,57.2
Myrmecocichla melaena,62.45,59.975,33.1,Mean,Muscicapidae,Passeriformes,27.3,88.9,61.2,61.2
Myrmecocichla monticola,73.175,73,33.1,Mean,Muscicapidae,Passeriformes,30,107.8,73.1,73.1
Myrmecocichla nigra,54.9,61.4,40.3,Mean,Muscicapidae,Passeriformes,29.8,98,58.5,58.5
Myrmecocichla tholloni,61.86666667,63.66666667,41.6,Mean,Muscicapidae,Passeriformes,33.3,100.7,62.7,62.7
Myrmelastes brunneiceps,54.5,54.825,25.7,Mean,Thamnophilidae,Passeriformes,25.5,66.2,54.7,54.7
Myrmelastes caurensis,72,80.46666667,39.4,Mean,Thamnophilidae,Passeriformes,29.3,84.5,77.1,77.1
Myrmelastes humaythae,52.9,53.15,25.7,Mean,Thamnophilidae,Passeriformes,25.6,68.4,53,53
Myrmelastes hyperythrus,56.075,56.22,41,Mean,Thamnophilidae,Passeriformes,29.2,76.8,56.2,56.2
Myrmelastes leucostigma,55.95,56.66666667,25.7,Mean,Thamnophilidae,Passeriformes,26.2,66.1,56.4,56.4
Myrmelastes rufifacies,56.1,56.575,25.7,Mean,Thamnophilidae,Passeriformes,25.8,66.9,56.3,56.3
Myrmelastes saturatus,62.43333333,57.26666667,25.7,Mean,Thamnophilidae,Passeriformes,25,64.3,59.9,59.9
Myrmelastes schistaceus,48.8,47.225,23.8,Mean,Thamnophilidae,Passeriformes,25.3,64.3,48,48
Myrmoborus leucophrys,43.03333333,44.52,21.5,Mean,Thamnophilidae,Passeriformes,25.2,64.9,43.8,43.8
Myrmoborus lophotes,55.5,54.36,28,Mean,Thamnophilidae,Passeriformes,30.7,74.3,54.7,54.7
Myrmoborus lugubris,37.66666667,40.25,21.4,Mean,Thamnophilidae,Passeriformes,26.5,66.7,39.9,39.9
Myrmoborus melanurus,40.025,39.7,18.1,Mean,Thamnophilidae,Passeriformes,25.2,61.8,39.8,39.8
Myrmoborus myotherinus,38.52,40.38947368,18.8,Mean,Thamnophilidae,Passeriformes,25.7,62,40.1,40.1
Myrmochanes hemileucus,34.5,32.73333333,12.5,Mean,Thamnophilidae,Passeriformes,20.9,53.6,33.7,33.7
Myrmoderus eowilsoni,66.5,62,26.1,Mean,Thamnophilidae,Passeriformes,27.2,68.1,64.2,64.2
Myrmoderus ferrugineus,53.25,56.18333333,26.1,Mean,Thamnophilidae,Passeriformes,26,64.2,55,55
Myrmoderus loricatus,64.75,65.6,15.5,Mean,Thamnophilidae,Passeriformes,25.3,59.8,65.3,65.3
Myrmoderus ruficauda,52.95,50.85714286,26,Mean,Thamnophilidae,Passeriformes,22.6,67.1,51.1,51.1
Myrmoderus squamosus,62.18,65.84285714,18.5,Mean,Thamnophilidae,Passeriformes,27.2,60,64.3,64.3
Myrmophylax atrothorax,51.8,52.8,16.1,Mean,Thamnophilidae,Passeriformes,24.9,55.3,52.3,52.3
Myrmorchilus strigilatus,59.6,60.78888889,23,Mean,Thamnophilidae,Passeriformes,29.5,61.9,60.3,60.3
Myrmornis torquata,37.65714286,36.72222222,46.7,Mean,Thamnophilidae,Passeriformes,24.7,90.2,37.1,37.1
Myrmothera berlepschi,37.96,38.12666667,48,Mean,Grallariidae,Passeriformes,38.3,81.2,38.2,38.2
Myrmothera campanisona,34.28275862,35.46721311,47,Mean,Grallariidae,Passeriformes,40.1,77.5,35.2,35.2
Myrmothera dives,36.23333333,33.46428571,44,Mean,Grallariidae,Passeriformes,36.4,75.4,34.1,34.1
Myrmothera fulviventris,33.05,34.676,41,Mean,Grallariidae,Passeriformes,36.1,77.3,34.2,34.2
Myrmothera simplex,49,46.64444444,52.4,Mean,Grallariidae,Passeriformes,42.7,81.8,46.8,46.8
Myrmothera subcanescens,40.1,40.66428571,47,Mean,Grallariidae,Passeriformes,42.2,81,40.4,40.4
Myrmotherula ambigua,23.1,22.9,6.7,Mean,Thamnophilidae,Passeriformes,15.7,41,23,23
Myrmotherula assimilis,29.2,29.83333333,9.3,Mean,Thamnophilidae,Passeriformes,16.4,51.5,29.5,29.5
Myrmotherula axillaris,36.236,36.81111111,8.1,Mean,Thamnophilidae,Passeriformes,15.5,51.1,36.5,36.5
Myrmotherula behni,29.5,30.9,8,Mean,Thamnophilidae,Passeriformes,16.2,54.1,31.4,31.4
