Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Abroscopus albogularis,38.5,38.83333333,4.8,Mean,Scotocercidae,Passeriformes,15.3,43.4,38.7,38.7
Abroscopus schisticeps,47.33333333,48,4.7,Mean,Scotocercidae,Passeriformes,16.5,47.1,47.5,47.5
Abroscopus superciliaris,39.5,44.33333333,6.5,Mean,Scotocercidae,Passeriformes,16.6,51.2,42.4,42.4
Acanthagenys rufogularis,113,112.3333333,47.8,Mean,Meliphagidae,Passeriformes,25.1,111.1,111.4,111.4
Acanthidops bairdi,47,53.83333333,16,Mean,Thraupidae,Passeriformes,20.9,66,52.1,52.1
Acanthis cabaret,NA,58,12,Mean,Fringillidae,Passeriformes,14.2,72,58,58
Acanthis hornemanni,NA,65,13.9,Mean,Fringillidae,Passeriformes,16.8,84,65,65
Acanthisitta chloris,24.33333333,22.66666667,6.9,Mean,Acanthisittidae,Passeriformes,18,46,23.5,23.5
Acanthiza apicalis,45.6,44.6,7.6,Mean,Acanthizidae,Passeriformes,19,51,44.1,44.1
Acanthiza chrysorrhoa,39.5,38.5,9.3,Mean,Acanthizidae,Passeriformes,18,58.3,37.9,37.9
Acanthiza cinerea,NA,36.125,7.6,Mean,Acanthizidae,Passeriformes,19.2,52,32.4,32.4
Acanthiza ewingii,49.83333333,39,6.9,Mean,Acanthizidae,Passeriformes,21.5,52.2,46.4,46.4
Acanthiza inornata,36.8,36.83333333,7,Mean,Acanthizidae,Passeriformes,17.3,47.8,36.4,36.4
Acanthiza iredalei,39.6,42,6,Mean,Acanthizidae,Passeriformes,17.4,48.4,39.3,39.3
Acanthiza katherina,42.25,45,7.2,Mean,Acanthizidae,Passeriformes,18.1,52.1,41.1,41.1
Acanthiza lineata,38.88888889,39,6.9,Mean,Acanthizidae,Passeriformes,17.1,51.5,37.9,37.9
Acanthiza murina,37.5,32.75,8.4,Mean,Acanthizidae,Passeriformes,17.9,57.1,35,35
Acanthiza nana,37.3125,37.4,6.2,Mean,Acanthizidae,Passeriformes,17.2,49.1,36.8,36.8
Acanthiza pusilla,44.1,45.3,7.6,Mean,Acanthizidae,Passeriformes,18.7,51.8,43.4,43.4
Acanthiza reguloides,38.78571429,39.08333333,7.7,Mean,Acanthizidae,Passeriformes,16.7,52,38.9,38.9
Acanthiza robustirostris,40.7,40.5,6.1,Mean,Acanthizidae,Passeriformes,19.1,50.8,40.2,40.2
Acanthiza uropygialis,38.5,43,6.4,Mean,Acanthizidae,Passeriformes,18,51.8,38.3,38.3
Acanthorhynchus superciliosus,54.5,58.66666667,9.7,Mean,Meliphagidae,Passeriformes,19.9,61.3,54.3,54.3
Acanthorhynchus tenuirostris,53.33333333,60.83333333,10.4,Mean,Meliphagidae,Passeriformes,18,65.6,57.1,57.1
Acanthornis magna,48.25,48.33333333,10.2,Mean,Acanthizidae,Passeriformes,21.9,56,48,48
Achaetops pycnopygius,79.5,79.33333333,28.3,Mean,Macrosphenidae,Passeriformes,24.2,68.1,79.4,79.4
Acridotheres albocinctus,78.75,82,98.9,Mean,Sturnidae,Passeriformes,36.7,125.8,80.7,80.7
Acridotheres burmannicus,52,76,89,Mean,Sturnidae,Passeriformes,31.8,113.8,68,68
Acridotheres cinereus,75.5,82.5,98.9,Mean,Sturnidae,Passeriformes,36,125.9,79,79
Acridotheres cristatellus,80.5,79,116.3,Mean,Sturnidae,Passeriformes,38.1,134,81.2,81.2
Acridotheres fuscus,75,72.25,82.8,Mean,Sturnidae,Passeriformes,36.5,123.6,74.9,74.9
Acridotheres ginginianus,61,71,72,Mean,Sturnidae,Passeriformes,34.2,120.2,77.5,77.5
Acridotheres grandis,76,77.66666667,98.9,Mean,Sturnidae,Passeriformes,36.5,134.6,77.2,77.2
Acridotheres javanicus,68,71.33333333,93.5,Mean,Sturnidae,Passeriformes,35.9,122.6,70.5,70.5
Acridotheres melanopterus,68,74.5,89,Mean,Sturnidae,Passeriformes,35.8,124.2,72.6,72.6
Acridotheres tristis,77.75,82.77777778,116.4,Mean,Sturnidae,Passeriformes,38.6,139.8,84.8,84.8
Acrobatornis fonsecai,51.8,55.35,13.7,Mean,Furnariidae,Passeriformes,17.6,62.9,56.6,56.6
Acrocephalus aequinoctialis,NA,63.5,25,Mean,Acrocephalidae,Passeriformes,24.5,73.5,63.5,63.5
Acrocephalus agricola,56.75,53.66666667,9.6,Mean,Acrocephalidae,Passeriformes,21.1,55.2,54.9,54.9
Acrocephalus arundinaceus,76,84,30,Mean,Acrocephalidae,Passeriformes,28.1,95.4,80.8,80.8
Acrocephalus atyphus,NA,78.2,30,Mean,Acrocephalidae,Passeriformes,28.1,88.3,78.2,78.2
Acrocephalus australis,65,67.5,17.7,Mean,Acrocephalidae,Passeriformes,23.8,71.5,67.1,67.1
Acrocephalus baeticatus,48,50,12.3,Mean,Acrocephalidae,Passeriformes,20.5,59.1,49.2,49.2
Acrocephalus bistrigiceps,48.5,51.66666667,8.7,Mean,Acrocephalidae,Passeriformes,20.1,52.7,50.4,50.4
Acrocephalus brevipennis,57.5,63.5,16,Mean,Acrocephalidae,Passeriformes,26.3,65.9,61.5,61.5
Acrocephalus caffer,84.5,80,43.8,Mean,Acrocephalidae,Passeriformes,30.7,93.2,81.8,81.8
Acrocephalus concinens,53.5,57.66666667,8.3,Mean,Acrocephalidae,Passeriformes,22,55.6,56,56
Acrocephalus dumetorum,53.25,53,11.2,Mean,Acrocephalidae,Passeriformes,22.3,62.1,53.1,53.1
Acrocephalus familiaris,55,58,18.3,Mean,Acrocephalidae,Passeriformes,21.4,60.5,56.5,56.5
Acrocephalus gracilirostris,54.25,62.66666667,14.4,Mean,Acrocephalidae,Passeriformes,23.5,64.7,59.3,59.3
Acrocephalus griseldis,64,64,16.7,Mean,Acrocephalidae,Passeriformes,24.2,79.9,64,64
Acrocephalus hiwae,NA,81.5,35.6,Mean,Acrocephalidae,Passeriformes,30.3,89,81.5,81.5
Acrocephalus kerearako,NA,77,22.5,Mean,Acrocephalidae,Passeriformes,27.2,73,77,77
Acrocephalus melanopogon,49.5,46.66666667,10.9,Mean,Acrocephalidae,Passeriformes,19,56.7,47.8,47.8
Acrocephalus mendanae,84,87.5,36.3,Mean,Acrocephalidae,Passeriformes,30.2,97.3,86.8,86.8
Acrocephalus newtoni,73,78.33333333,17,Mean,Acrocephalidae,Passeriformes,25.6,66.5,76.2,76.2
Acrocephalus orientalis,69,69.5,23.5,Mean,Acrocephalidae,Passeriformes,26.5,79,69.2,69.2
Acrocephalus orinus,59.25,51.5,24.2,Mean,Acrocephalidae,Passeriformes,21.8,58,55.4,55.4
Acrocephalus paludicola,46,48.5,11.6,Mean,Acrocephalidae,Passeriformes,19.4,62.1,47.2,47.2
Acrocephalus palustris,55.25,57.5,11.5,Mean,Acrocephalidae,Passeriformes,21.3,68.6,56.5,56.5
Acrocephalus percernis,NA,93.33333333,31.2,Mean,Acrocephalidae,Passeriformes,30.1,100.6,92.5,92.5
Acrocephalus rehsei,66,NA,20.1,Mean,Acrocephalidae,Passeriformes,27.9,71.5,66,66
Acrocephalus rimitarae,NA,85,26.5,Mean,Acrocephalidae,Passeriformes,29.4,84.5,85,85
Acrocephalus rodericanus,73,75.75,11.8,Mean,Acrocephalidae,Passeriformes,23.1,60.4,74.4,74.4
Acrocephalus rufescens,68.5,69.33333333,22.7,Mean,Acrocephalidae,Passeriformes,27.8,72.3,69,69
Acrocephalus schoenobaenus,48.5,49.3,11.8,Mean,Acrocephalidae,Passeriformes,20.9,65.4,48.9,48.9
Acrocephalus scirpaceus,50.75,53.3,12.3,Mean,Acrocephalidae,Passeriformes,21.7,67.1,52.2,52.2
Acrocephalus sechellensis,60,61,15.9,Mean,Acrocephalidae,Passeriformes,24,65.8,60.6,60.6
Acrocephalus sorghophilus,58.73333333,53.6,8.2,Mean,Acrocephalidae,Passeriformes,22.4,65.5,55.8,55.8
Acrocephalus stentoreus,73.5,74.63636364,24.2,Mean,Acrocephalidae,Passeriformes,27.3,80.1,74.5,74.5
Acrocephalus syrinx,70,71.75,34,Mean,Acrocephalidae,Passeriformes,26.1,76,71.4,71.4
Acrocephalus taiti,78,78,24.3,Mean,Acrocephalidae,Passeriformes,29.5,82,78,78
Acrocephalus tangorum,52.5,54,8,Mean,Acrocephalidae,Passeriformes,21.6,53.5,53.2,53.2
Acrocephalus vaughani,72.66666667,69.5,24.4,Mean,Acrocephalidae,Passeriformes,27.9,77.4,71.4,71.4
Acropternis orthonyx,94.55,88,89.9,Mean,Rhinocryptidae,Passeriformes,36.4,94.8,88.9,88.9
Actinodura cyanouroptera,68.75,70.33333333,17,Mean,Leiothrichidae,Passeriformes,21.9,65.3,69.7,69.7
Actinodura egertoni,115,110,36,Mean,Leiothrichidae,Passeriformes,28.6,85,112,112
Actinodura morrisoniana,81,80,24,Mean,Leiothrichidae,Passeriformes,27.7,81,80.4,80.4
Actinodura nipalensis,82,80.33333333,43.9,Mean,Leiothrichidae,Passeriformes,30.6,87.4,81,81
Actinodura ramsayi,124.5,128,38.4,Mean,Leiothrichidae,Passeriformes,28.5,88.8,126.6,126.6
Actinodura sodangorum,123.5,NA,38.4,Mean,Leiothrichidae,Passeriformes,31,85.5,123.5,123.5
Actinodura souliei,91,87.66666667,39.3,Mean,Leiothrichidae,Passeriformes,32.9,94.2,88.5,88.5
Actinodura strigula,68,70,19.2,Mean,Leiothrichidae,Passeriformes,24.6,66.7,69.2,69.2
Actinodura waldeni,93,79,46.7,Mean,Leiothrichidae,Passeriformes,32.2,90.5,84.6,84.6
Aegithalos caudatus,85,90,8.6,Mean,Aegithalidae,Passeriformes,15.9,63.1,87.8,87.8
Aegithalos concinnus,47.33333333,46.16666667,6.1,Mean,Aegithalidae,Passeriformes,15.5,48.6,46.8,46.8
Aegithalos fuliginosus,56,58,5.7,Mean,Aegithalidae,Passeriformes,15.6,55.4,57,57
Aegithalos glaucogularis,59.5,64,8.6,Mean,Aegithalidae,Passeriformes,15.7,53.9,61.8,61.8
Aegithalos iouschistos,52.25,54.2,7,Mean,Aegithalidae,Passeriformes,16.5,55.3,52.9,52.9
Aegithalos leucogenys,52.5,49.5,6.7,Mean,Aegithalidae,Passeriformes,16.2,52.8,51,51
Aegithalos niveogularis,56.5,56.33333333,7.8,Mean,Aegithalidae,Passeriformes,17.9,59.7,56.4,56.4
Aegithina lafresnayei,54,58,12,Mean,Aegithinidae,Passeriformes,20.1,70.5,56,56
Aegithina nigrolutea,47.5,47,11.8,Mean,Aegithinidae,Passeriformes,18,64.4,47.2,47.2
Aegithina tiphia,49,47.29166667,12,Mean,Aegithinidae,Passeriformes,19.7,61.6,47.8,47.8
Aegithina viridissima,43.66666667,44,13.4,Mean,Aegithinidae,Passeriformes,17.7,61.9,43.9,43.9
Aethopyga bella,22,28.25,4,Mean,Nectariniidae,Passeriformes,12.6,41.4,27,27
Aethopyga boltoni,37.6,43.05,7.1,Mean,Nectariniidae,Passeriformes,15.4,49.4,40.7,40.7
Aethopyga christinae,29.5,44.5,5.2,Mean,Nectariniidae,Passeriformes,13.8,47.8,39.5,39.5
Aethopyga duyvenbodei,31,39,6,Mean,Nectariniidae,Passeriformes,16.3,53.1,35.8,35.8
Aethopyga eximia,39,55.66666667,5.2,Mean,Nectariniidae,Passeriformes,15.9,53.3,49,49
Aethopyga flagrans,31,30.5,6.7,Mean,Nectariniidae,Passeriformes,14.9,45.9,30.6,30.6
Aethopyga gouldiae,35,80.25,5,Mean,Nectariniidae,Passeriformes,13.9,54.5,57.6,57.6
Aethopyga ignicauda,40,109,8.2,Mean,Nectariniidae,Passeriformes,15.5,55.4,74.5,74.5
Aethopyga linaraborae,36.75,43.55,7.2,Mean,Nectariniidae,Passeriformes,15.5,52,40.1,40.1
Aethopyga mystacalis,35,43.66666667,6,Mean,Nectariniidae,Passeriformes,13.3,46.8,41.5,41.5
Aethopyga nipalensis,42,65.5,6.9,Mean,Nectariniidae,Passeriformes,13.2,49.8,53.8,53.8
Aethopyga primigenia,32.6,36.3,7,Mean,Nectariniidae,Passeriformes,16.1,50.6,34.5,34.5
Aethopyga pulcherrima,22.5,29.66666667,6.2,Mean,Nectariniidae,Passeriformes,14.6,46.1,26.8,26.8
Aethopyga saturata,38.5,78.33333333,5.3,Mean,Nectariniidae,Passeriformes,14.1,51.3,62.4,62.4
Aethopyga shelleyi,26,45.83333333,4,Mean,Nectariniidae,Passeriformes,13.4,46,37.9,37.9
Aethopyga siparaja,36.125,40.10714286,6.7,Mean,Nectariniidae,Passeriformes,13,50.4,38.1,38.1
Aethopyga temminckii,27.5,48,6,Mean,Nectariniidae,Passeriformes,13.7,51,39.8,39.8
Aethopyga vigorsii,44,55.5,6.7,Mean,Nectariniidae,Passeriformes,15.8,57.5,49.8,49.8
Agelaioides badius,71.25,80.8,45.3,Mean,Icteridae,Passeriformes,26.8,93.5,77.9,77.9
Agelaioides fringillarius,NA,69.4,45.3,Mean,Icteridae,Passeriformes,23.5,87.9,66.6,66.6
Agelaius assimilis,69.5,97,47.7,Mean,Icteridae,Passeriformes,26.7,93.7,78.7,78.7
Agelaius humeralis,NA,86,36.3,Mean,Icteridae,Passeriformes,23.8,112.8,86,86
Agelaius phoeniceus,72.25,95.6,50.8,Mean,Icteridae,Passeriformes,28,118,88.9,88.9
Agelaius tricolor,76.5,89.5,57.9,Mean,Icteridae,Passeriformes,26.7,113.2,83,83
Agelaius xanthomus,78.5,88,38.4,Mean,Icteridae,Passeriformes,22,101.2,83.2,83.2
Agelasticus cyanopus,75,86.5,37.2,Mean,Icteridae,Passeriformes,24.9,87.8,80.8,80.8
Agelasticus thilius,71.5,78,31.5,Mean,Icteridae,Passeriformes,26.4,93.4,75.4,75.4
Agelasticus xanthophthalmus,79.5,82,45.1,Mean,Icteridae,Passeriformes,28.8,91.2,80.8,80.8
Agraphospiza rubescens,55,62.33333333,19,Mean,Fringillidae,Passeriformes,17.6,76.9,59.4,59.4
Agricola infuscatus,75,80.33333333,32.4,Mean,Muscicapidae,Passeriformes,25.1,105.1,79,79
Agricola pallidus,68.625,71.5,23.6,Mean,Muscicapidae,Passeriformes,20.9,89.9,72.8,72.8
Agriornis albicauda,100,113.6666667,53,Mean,Tyrannidae,Passeriformes,39.7,141.3,113.1,113.1
Agriornis lividus,107.5666667,103.775,99.1,Mean,Tyrannidae,Passeriformes,38,127.7,105.4,105.4
Agriornis micropterus,97.1,101.45,67.8,Mean,Tyrannidae,Passeriformes,33.8,118.9,99.6,99.6
Agriornis montanus,98.5,96.56,63.3,Mean,Tyrannidae,Passeriformes,33.1,131.3,98.2,98.2
Agriornis murinus,74.53333333,73.625,29.9,Mean,Tyrannidae,Passeriformes,27.5,97,74.2,74.2
Agropsar philippensis,47,50,28.8,Mean,Sturnidae,Passeriformes,24,105.2,49,49
Agropsar sturninus,50.5,52,49.4,Mean,Sturnidae,Passeriformes,25.4,105.6,51.4,51.4
Aidemosyne modesta,48.375,52.83333333,12.7,Mean,Estrildidae,Passeriformes,14.6,55.9,49.2,49.2
Ailuroedus buccoides,86.5,90.66666667,138,Mean,Ptilonorhynchidae,Passeriformes,37.9,129.6,89,89
Ailuroedus crassirostris,113,NA,205.3,Mean,Ptilonorhynchidae,Passeriformes,48.6,155.8,113.7,113.7
Ailuroedus melanotis,115,126,176.9,Mean,Ptilonorhynchidae,Passeriformes,45.8,160.2,118.5,118.5
Aimophila notosticta,70,80,27.1,Mean,Passerellidae,Passeriformes,24,67.1,74.2,74.2
Aimophila rufescens,76.5,75.33333333,34.3,Mean,Passerellidae,Passeriformes,25.8,73.6,75.8,75.8
Aimophila ruficeps,59.5,64.5,18.7,Mean,Passerellidae,Passeriformes,19.8,59.9,62,62
Akletos goeldii,67.53333333,71.22857143,42,Mean,Thamnophilidae,Passeriformes,33.8,87.4,69.2,69.2
Akletos melanoceps,61.275,62.125,38.5,Mean,Thamnophilidae,Passeriformes,32,85.8,61.7,61.7
Alaemon alaudipes,82.5,93,43.7,Mean,Alaudidae,Passeriformes,30.8,120.8,88.8,88.8
Alaemon hamertoni,68,77.5,43.7,Mean,Alaudidae,Passeriformes,29.4,98.2,71.8,71.8
Alauda arvensis,67.25,67.78125,37.3,Mean,Alaudidae,Passeriformes,23.6,106.7,67.6,67.6
Alauda gulgula,49,52.88888889,26.3,Mean,Alaudidae,Passeriformes,23.3,86.4,52.2,52.2
Alauda leucoptera,65,73.5,45.3,Mean,Alaudidae,Passeriformes,20.7,113.2,68.4,68.4
Alauda razae,45.25,47.66666667,21.9,Mean,Alaudidae,Passeriformes,20.9,79.9,46.7,46.7
Alaudala cheleensis,60.5,65.33333333,24.1,Mean,Alaudidae,Passeriformes,18.4,86.6,63.4,63.4
Alaudala raytal,47,51.66666667,18.5,Mean,Alaudidae,Passeriformes,18.4,80.4,49.8,49.8
Alaudala rufescens,53,55,24.1,Mean,Alaudidae,Passeriformes,18.2,86.1,54,54
Alaudala somalica,52,53,24.1,Mean,Alaudidae,Passeriformes,19.4,88.2,52.6,52.6
Alcippe brunneicauda,60.5,62.33333333,14.3,Mean,Leiothrichidae,Passeriformes,21,71.7,61.6,61.6
Alcippe grotei,66,65.5,14.3,Mean,Leiothrichidae,Passeriformes,20.4,66.1,65.8,65.8
Alcippe morrisonia,53.5,51.66666667,15.3,Mean,Leiothrichidae,Passeriformes,19.2,60.9,52.4,52.4
Alcippe nipalensis,59.5,57.33333333,15.8,Mean,Leiothrichidae,Passeriformes,19.9,56,58.2,58.2
Alcippe peracensis,65.33333333,69.5,14.3,Mean,Leiothrichidae,Passeriformes,22.8,63.6,67,67
Alcippe poioicephala,68.25,63.66666667,20.7,Mean,Leiothrichidae,Passeriformes,21.2,69.5,65.5,65.5
Alcippe pyrrhoptera,63,66,16.3,Mean,Leiothrichidae,Passeriformes,22.2,62.2,64.8,64.8
Aleadryas rufinucha,66.5,72.66666667,40.5,Mean,Oreoicidae,Passeriformes,30.2,84.8,70.2,70.2
Alectrurus risora,109,203.5,21,Mean,Tyrannidae,Passeriformes,23.2,73,156.2,156.2
Alectrurus tricolor,36,61.33333333,16,Mean,Tyrannidae,Passeriformes,19.6,67.6,51.2,51.2
Alethe castanea,63.75,72.4,31.5,Mean,Muscicapidae,Passeriformes,25.8,91,76.4,76.4
Alethe diademata,76.5,84.33333333,31.5,Mean,Muscicapidae,Passeriformes,24.9,89.9,72,72
Allenia fusca,95.5,98,67.1,Mean,Mimidae,Passeriformes,29.1,122.8,96.8,96.8
Alophoixus affinis,87.5,99.5,40.5,Mean,Pycnonotidae,Passeriformes,19.3,107.1,93.5,93.5
Alophoixus bres,NA,90,35.3,Mean,Pycnonotidae,Passeriformes,19.6,100,90,90
Alophoixus finschii,65,69.5,24.2,Mean,Pycnonotidae,Passeriformes,15.9,84.8,67.2,67.2
Alophoixus flaveolus,92.5,88.6,48.3,Mean,Pycnonotidae,Passeriformes,20.1,100.8,90.1,90.1
Alophoixus longirostris,NA,111,40.5,Mean,Pycnonotidae,Passeriformes,20.9,116.2,114.1,114.1
Alophoixus mystacalis,95.5,94.5,40.5,Mean,Pycnonotidae,Passeriformes,18.6,106,95,95
Alophoixus ochraceus,93.5,98.33333333,41.5,Mean,Pycnonotidae,Passeriformes,20.2,101.1,96.4,96.4
Alophoixus pallidus,100,105.6666667,46,Mean,Pycnonotidae,Passeriformes,20.1,100.5,103.4,103.4
Alophoixus phaeocephalus,75,84.33333333,32,Mean,Pycnonotidae,Passeriformes,19.9,94.4,80.6,80.6
Alophoixus tephrogenys,83,81.5,35.3,Mean,Pycnonotidae,Passeriformes,20,104.6,80.8,80.8
Alopochelidon fucata,43.325,43.9,14,Mean,Hirundinidae,Passeriformes,11,99,43.6,43.6
Amadina erythrocephala,44,52.66666667,22.5,Mean,Estrildidae,Passeriformes,14.8,71.8,49.2,49.2
Amadina fasciata,41.16666667,41.5,18,Mean,Estrildidae,Passeriformes,14.3,65.8,41.4,41.4
Amalocichla incerta,58,63,32.7,Mean,Petroicidae,Passeriformes,36.6,75.6,61.8,61.8
Amalocichla sclateriana,75,81.5,54.7,Mean,Petroicidae,Passeriformes,45,102.4,77.5,77.5
Amandava amandava,41.5,38.66666667,9,Mean,Estrildidae,Passeriformes,12.8,47.4,39.8,39.8
Amandava formosa,39,38.83333333,9,Mean,Estrildidae,Passeriformes,14.1,47.7,38.9,38.9
Amandava subflava,32.5,35,7.4,Mean,Estrildidae,Passeriformes,11.8,43.4,34,34
Amaurospiza concolor,46,52.58,13.6,Mean,Cardinalidae,Passeriformes,17.5,61.5,51.5,51.5
Amaurospiza moesta,55,58.33333333,13.6,Mean,Cardinalidae,Passeriformes,18.1,61.8,57.5,57.5
Amblycercus holosericeus,86.5,94.44444444,70.4,Mean,Icteridae,Passeriformes,31.5,94.6,97.5,97.5
Amblyornis flavifrons,NA,84,120,Mean,Ptilonorhynchidae,Passeriformes,33.9,132,84,84
Amblyornis inornata,90,NA,124,Mean,Ptilonorhynchidae,Passeriformes,35.8,128.5,93.2,93.2
Amblyornis macgregoriae,83.25,93.5,117.5,Mean,Ptilonorhynchidae,Passeriformes,37.3,131.6,88.4,88.4
Amblyornis newtoniana,87.33333333,112.3333333,78.3,Mean,Ptilonorhynchidae,Passeriformes,31,117.8,98.4,98.4
Amblyornis subalaris,87.5,89,108.9,Mean,Ptilonorhynchidae,Passeriformes,34,120.2,88.2,88.2
Amblyospiza albifrons,60.125,70.3,41.6,Mean,Ploceidae,Passeriformes,22.4,90.9,65.8,65.8
Amblyramphus holosericeus,92.5,99.125,56.8,Mean,Icteridae,Passeriformes,31.1,102.6,96.3,96.3
Ammodramus aurifrons,45,48.6,17.8,Mean,Passerellidae,Passeriformes,21.7,58.3,47,47
Ammodramus humeralis,43.65,46.96666667,16,Mean,Passerellidae,Passeriformes,18.7,56.4,45.6,45.6
Ammodramus savannarum,40.5,42.33333333,17.6,Mean,Passerellidae,Passeriformes,20.1,58.2,41.4,41.4
Ammomanes cinctura,52,56.5,18.1,Mean,Alaudidae,Passeriformes,20.7,89.8,52.8,52.8
Ammomanes deserti,62,65.33333333,23.8,Mean,Alaudidae,Passeriformes,21.4,96.2,64,64
Ammomanes phoenicura,57,62,25.6,Mean,Alaudidae,Passeriformes,21.7,101,60,60
Ammomanopsis grayi,46.5,49.66666667,21.4,Mean,Alaudidae,Passeriformes,20.8,81.4,48.4,48.4
Ammonastes pelzelni,45.3,45.46,17.7,Mean,Thamnophilidae,Passeriformes,23,56.8,45.6,45.6
Ammospiza caudacuta,46.375,48.16666667,19.2,Mean,Passerellidae,Passeriformes,21.2,56.8,47.5,47.5
Ammospiza leconteii,53.83333333,50.16666667,13,Mean,Passerellidae,Passeriformes,17.3,53,52,52
Ammospiza maritima,50.25,58.4,22.2,Mean,Passerellidae,Passeriformes,22.9,60.6,54.8,54.8
Ammospiza nelsoni,46.4,48.83333333,15.1,Mean,Passerellidae,Passeriformes,21.7,56.4,47.7,47.7
Ampeliceps coronatus,64.33333333,67.33333333,87.9,Mean,Sturnidae,Passeriformes,24,124.5,65.8,65.8
Ampelioides tschudii,64.5,66,78.4,Mean,Cotingidae,Passeriformes,20.8,100.5,65.5,65.5
Ampelion rubrocristatus,83.25,87.9,66.3,Mean,Cotingidae,Passeriformes,24.9,113.3,86.2,86.2
Ampelion rufaxilla,79,82.25,73.9,Mean,Cotingidae,Passeriformes,21.9,115.8,80.4,80.4
Ampelornis griseiceps,56.45,55.96666667,15,Mean,Thamnophilidae,Passeriformes,23.5,59.3,56.2,56.2
Amphispiza bilineata,58.5,67.875,13.5,Mean,Passerellidae,Passeriformes,18.1,63.5,64.8,64.8
Amphispizopsis quinquestriata,66,61,19.5,Mean,Passerellidae,Passeriformes,20.2,68.8,62.2,62.2
Amytornis ballarae,69.65,71,21,Mean,Maluridae,Passeriformes,23.6,59.9,73,73
Amytornis barbatus,93.5,106,18.4,Mean,Maluridae,Passeriformes,24.1,58.5,102.9,102.9
Amytornis dorotheae,80.33333333,85.33333333,23.2,Mean,Maluridae,Passeriformes,22.4,61,82.8,82.8
Amytornis goyderi,75,80,16.7,Mean,Maluridae,Passeriformes,22.4,57.7,77.5,77.5
Amytornis housei,87.75,110.1,28.9,Mean,Maluridae,Passeriformes,25.3,72.1,98.6,98.6
Amytornis merrotsyi,69.5,72,19.6,Mean,Maluridae,Passeriformes,26.1,60.3,71.4,71.4
Amytornis modestus,70,NA,23,Mean,Maluridae,Passeriformes,24.6,62.2,73.8,73.8
Amytornis purnelli,77.5,80.92857143,21,Mean,Maluridae,Passeriformes,24.5,61,78.7,78.7
Amytornis striatus,NA,86,19.6,Mean,Maluridae,Passeriformes,25.3,59.5,82,82
Amytornis textilis,95,89.375,23,Mean,Maluridae,Passeriformes,25.1,64.5,90.3,90.3
Amytornis woodwardi,101,111,35.1,Mean,Maluridae,Passeriformes,28.1,74.5,103.3,103.3
Anabacerthia amaurotis,75,NA,19.2,Mean,Furnariidae,Passeriformes,19.6,76.2,72.3,72.3
Anabacerthia lichtensteini,NA,75,21,Mean,Furnariidae,Passeriformes,18.6,78.2,74,74
Anabacerthia ruficaudata,65.5,78.35,30.1,Mean,Furnariidae,Passeriformes,19.3,90.2,74.1,74.1
Anabacerthia striaticollis,72.4,77.16666667,24.8,Mean,Furnariidae,Passeriformes,20,87.3,76.1,76.1
Anabacerthia variegaticeps,NA,72.33333333,27.8,Mean,Furnariidae,Passeriformes,19.4,85.2,70.6,70.6
Anabathmis hartlaubii,48,53,10.5,Mean,Nectariniidae,Passeriformes,20,61,52,52
Anabathmis newtonii,34,39.5,6.5,Mean,Nectariniidae,Passeriformes,17.4,51.8,38.4,38.4
Anabathmis reichenbachii,46.5,50,11.4,Mean,Nectariniidae,Passeriformes,17.5,57.2,48.2,48.2
Anabazenops fuscus,76,84.95,38.5,Mean,Furnariidae,Passeriformes,23.4,91.6,80,80
Anairetes alpinus,63,NA,9,Mean,Tyrannidae,Passeriformes,22.1,63.5,63,63
Anairetes fernandezianus,55.5,57,6.9,Mean,Tyrannidae,Passeriformes,22,55.9,56.2,56.2
Anairetes flavirostris,49.5,54,6,Mean,Tyrannidae,Passeriformes,18.3,48,51.8,51.8
Anairetes nigrocristatus,59,64,9.2,Mean,Tyrannidae,Passeriformes,21.6,57.8,61.5,61.5
Anairetes parulus,49.57142857,51.92857143,6.2,Mean,Tyrannidae,Passeriformes,18.5,49.1,51,51
Anairetes reguloides,52,46.66666667,5.9,Mean,Tyrannidae,Passeriformes,19.8,52.4,48,48
Analisoma analis,127,118.125,82.4,Mean,Campephagidae,Passeriformes,30.8,140.8,119.9,119.9
Analisoma coerulescens,104,100,62.8,Mean,Campephagidae,Passeriformes,24.2,129.9,100.8,100.8
Analisoma ostenta,112,105.375,68,Mean,Campephagidae,Passeriformes,24.2,133.8,106.7,106.7
Anaplectes rubriceps,53.16666667,53.7,22.6,Mean,Ploceidae,Passeriformes,19.4,81.2,52.9,52.9
Ancistrops strigilatus,71.5,73.33333333,35.9,Mean,Furnariidae,Passeriformes,23.1,92.8,72.5,72.5
Andropadus importunus,83.91666667,88.36666667,27.4,Mean,Pycnonotidae,Passeriformes,22.4,88.9,86.1,86.1
Androphobus viridis,68.66666667,74,30.5,Mean,Psophodidae,Passeriformes,25.3,63.7,70.8,70.8
Anisognathus igniventris,75.25,75.7173913,34,Mean,Thraupidae,Passeriformes,25.1,87.9,75.3,75.3
Anisognathus lacrymosus,72.08,78.16666667,31,Mean,Thraupidae,Passeriformes,25.1,89.5,75.5,75.5
Anisognathus melanogenys,82,72.5,41,Mean,Thraupidae,Passeriformes,27.6,87.5,79.1,79.1
Anisognathus notabilis,76,74.5,57.3,Mean,Thraupidae,Passeriformes,23.2,99.9,75.2,75.2
