"","w1","m1_rate_11","m1_rate_12","m1_rate_21","m1_rate_22","m1_r1","m1_r2","w2","m2_rate_11","m2_rate_12","m2_rate_21","m2_rate_22","m2_r1","m2_r2","w2b","m2b_rate_11","m2b_rate_12","m2b_rate_21","m2b_rate_22","m2b_r1","m2b_r2","w2c","m2c_rate_11","m2c_rate_12","m2c_rate_21","m2c_rate_22","m2c_r1","m2c_r2","w3","m3_rate_11","m3_rate_12","m3_rate_21","m3_rate_22","m3_r1","m3_r2","w3b","m3b_rate_11","m3b_rate_12","m3b_rate_21","m3b_rate_22","m3b_r1","m3b_r2","w3c","m3c_rate_11","m3c_rate_12","m3c_rate_21","m3c_rate_22","m3c_r1","m3c_r2","w4","m4_rate_11","m4_rate_12","m4_rate_21","m4_rate_22","m4_r1","m4_r2"
"87",2.94087758798826e-14,0.0056398725232549,NA,0.0016686491962986,NA,0.753094641765641,NA,0.71964795659824,0.030132188588944,0.000628053624164813,0.00918143587127686,0.000182482746086127,0.890512876517057,NA,1.65770929665051e-11,0.0155426425905382,0.00128808727014369,0.00173438216908554,NA,0.759609795577759,NA,4.46466532463309e-11,0.00604150753546228,NA,0.00513415615797601,0.000399598011799788,0.802047525867638,NA,0.000118517091930709,0.0061087692681013,NA,0.00181121394306442,NA,0.478008951494427,0.989297379178607,5.73782779466993e-05,0.00852955405514791,0.00534683302618858,0.00172660494467153,NA,0.525858514943877,0.988115000754984,6.14153559759993e-05,0.00563430274314958,NA,0.00230590953432747,0.00153892364826367,0.500566978200813,0.987879234729699,0.280114732614653,0.0280228248505171,0.000662354722506689,0.00854008471417261,0.000192467294885899,0.875029308152205,0.901119919328106
"88",1.60170182073725e-15,0.00563988001768277,NA,0.00166865066352898,NA,0.753094397910307,NA,0.563892924756697,0.0207503586329668,0.000581260275134739,0.00559484825590954,0.000171922962039357,0.859795023564217,NA,7.9845179722536e-12,0.0109456020114647,0.00100540760547525,0.00171214086858881,NA,0.717204794793279,NA,9.46425001517849e-11,0.00568457154996272,NA,0.0030734467710295,0.000304302689656412,0.75460480077289,NA,1.13182488771595e-06,0.00665263798970224,NA,0.00188979035582683,NA,0.5559273833571,0.989884413529205,8.83263483789931e-07,0.00878820234842375,0.00502176665010229,0.00167448441216762,NA,0.558432757560032,0.987404553995538,1.49176221914515e-06,0.00562135618807569,NA,0.00257972369653065,0.0013255530684152,0.569682426550961,0.986209471368758,0.436103568290084,0.016198601054161,0.000641520771219421,0.00436954154272867,0.000185360784993471,0.776318223293584,0.897062308737947
"89",2.13409245654716e-15,0.00563986930840182,NA,0.00166865291514848,NA,0.753093945191924,NA,0.578639628492779,0.0208095316166925,0.000581732242500643,0.00576161072121898,0.000171922962039357,0.860991390114322,NA,1.32900033420489e-11,0.0112600600882706,0.00101214780270485,0.00169577824544766,NA,0.72518870872137,NA,1.07313148641145e-10,0.00566871178808038,NA,0.00326092679176922,0.000307458061145397,0.761425098715859,NA,1.89471278720439e-06,0.00647085409035756,NA,0.00185635116335482,NA,0.534702577701494,0.989692781698891,1.21035178067654e-06,0.00891094176393879,0.00524443314819132,0.00173466588733633,NA,0.563433442432824,0.987876831189635,1.84828943217609e-06,0.00563038503116593,NA,0.00253306726261838,0.00135733289775579,0.559276380389056,0.986515604036764,0.421355418032616,0.0164699520593637,0.000638785887923828,0.0045615157317273,0.000184735119284462,0.782817867052477,0.896596364668723
"90",9.88382256441594e-15,0.0056398610927048,NA,0.0016686504843968,NA,0.753093573583677,NA,0.676639703429109,0.0247343095749561,0.000590519343700816,0.00735407156162306,0.000171922962039357,0.874942606267804,NA,2.07658011097967e-11,0.0134980766194382,0.00112231038251968,0.00170742130791216,NA,0.744825980625128,NA,7.42875088471023e-11,0.00585092226538292,NA,0.00424906313524525,0.000349564804817779,0.785522037323187,NA,1.86148567569396e-05,0.00614768138273997,NA,0.00181033722688972,NA,0.490339143532816,0.989225002812955,9.84662791250862e-06,0.00804418066922411,0.00513008024933537,0.00167456713373804,NA,0.523997622055737,0.987604700725434,1.12290748272453e-05,0.00564968343060301,NA,0.00239714930396384,0.00147770334289084,0.520593268081076,0.987478249873261,0.323320605916331,0.0213903681377395,0.000648589063603487,0.00635891033409682,0.000188355716609585,0.83520780055381,0.898481888528801
"91",5.79547755078686e-15,0.00563987104543184,NA,0.00166865342908222,NA,0.753093982983355,NA,0.661246490262579,0.024568516576269,0.000589694949068836,0.00702183815226645,0.000171922962039357,0.872571418482357,NA,1.30270155728929e-11,0.0133069393322488,0.00110278253557451,0.00171174180293967,NA,0.740097103580334,NA,8.61313606258956e-11,0.00580041296939103,NA,0.00401421544512531,0.000341874891966463,0.782576315948614,NA,1.03034559564182e-05,0.00630889548619631,NA,0.00182445529283793,NA,0.496649895972793,0.989459442457138,5.50897918370179e-06,0.00832611390373332,0.00516852166186133,0.00168968094260313,NA,0.516464279364995,0.98773320566478,7.11410841364197e-06,0.00569589132971436,NA,0.0022936069893588,0.00146822844694847,0.527078064935706,0.987490614262023,0.338730583094703,0.0208038226825885,0.000648362728428585,0.00594670360074326,0.000187842445276382,0.825486365002352,0.898403658452994
"92",6.41368698134823e-15,0.00563987134891495,NA,0.00166865260270276,NA,0.753093926531683,NA,0.627718615479442,0.0234081341034164,0.000585473462465402,0.00661485161775098,0.000171922962039357,0.86688181474352,NA,1.88831385422852e-11,0.0127283181439855,0.00106122050283928,0.00170576853668976,NA,0.735292009234612,NA,1.55874397811236e-10,0.0057478009280659,NA,0.00380237173450375,0.000330447249283311,0.780047142819129,NA,6.61025744507633e-06,0.00636004692919402,NA,0.00183419547607692,NA,0.491382310333301,0.989496888018999,3.6126279689992e-06,0.00846548459669334,0.00531418103950541,0.0017143767886277,NA,0.520814354746886,0.987986877093061,4.99702871593533e-06,0.00564399617331586,NA,0.0025170754165749,0.00141158702883819,0.52809355940729,0.986977641203739,0.372266164431664,0.0192243324761147,0.000643431925535746,0.00543335282301737,0.000186446339757571,0.805926065859199,0.897335930088452
"93",3.38453456412682e-15,0.00563987637312537,NA,0.00166865500537434,NA,0.753094604624619,NA,0.619655619028271,0.0232812089873101,0.000586987077745748,0.00632850584604755,0.000171922962039357,0.867334204263644,NA,7.8416202640731e-12,0.0122057055395009,0.00107326610620056,0.00172633165219656,NA,0.728118668004171,NA,1.00253540036907e-10,0.00575809891750883,NA,0.00346566209125594,0.000328815271058052,0.769792951185576,NA,3.48499841952816e-06,0.00656538979973584,NA,0.00186802974870652,NA,0.531357116904271,0.98977259723095,2.33531611749965e-06,0.00869323451379256,0.00511505692744374,0.00166546749154107,NA,0.542385293205106,0.987567302951294,3.79345919753128e-06,0.00563338559783807,NA,0.00257507988754385,0.00135741006614116,0.555088707679024,0.986542213245481,0.380334767089896,0.0188009590707669,0.00065356411819303,0.00510980551770034,0.000189059100746251,0.802905520619448,0.899159402769435
"94",1.13340405026479e-13,0.00563987318630966,NA,0.00166865406250241,NA,0.753094985197388,NA,0.701985853408372,0.0270069019515218,0.000626302228362504,0.00785902125576048,0.000184583145913773,0.882864300717766,NA,4.82826203587649e-11,0.0141453516105964,0.00129034782651899,0.0017224864603518,NA,0.75283732829544,NA,2.32318877104046e-10,0.00588604415958785,NA,0.0043874774890096,0.000403480449973873,0.795057585740089,NA,0.000122784173852693,0.00615063804816293,NA,0.00180631793459075,NA,0.497409603403239,0.98890861326216,6.17074192808533e-05,0.00783953233129853,0.00519006409682915,0.00167004227356825,NA,0.524847393574087,0.987337476059163,6.94665398347973e-05,0.00562810592934781,NA,0.00233726060513194,0.00149180548814669,0.526331857240311,0.98708190002246,0.297760188177944,0.0241007496210269,0.000685459806286111,0.00701001213837103,0.000202042044011492,0.856700829073174,0.901368098973777
"95",1.40090240225807e-14,0.00563990301586844,NA,0.00166866288808944,NA,0.753098212857236,NA,0.286526021926643,0.048805787072098,0.000605834114756747,0.0128039908658094,0.000252518448640634,0.931280408786446,NA,2.64897366537978e-10,0.0293750534347214,0.00216227221240394,0.00231622443267561,NA,0.930259002852945,NA,3.3236384774576e-12,0.00596178328850836,NA,0.00474507366410043,0.000638412043052988,0.822571944905768,NA,0.00340878432541165,0.00539148522211968,NA,0.00204354651398359,NA,0.264468387332193,0.993831907961866,0.00373101069384982,0.00841490758116876,0.00428739421203236,0.00175894696095275,NA,0.441889221755921,0.992812708884662,0.00152381826381715,0.00569951203661221,NA,0.00172069786628568,0.00222397865342033,0.259265512554429,0.994300612116729,0.704810364522043,0.0300896969882345,0.000803368372954649,0.00772047327862059,0.000334736967622319,0.84711319553958,0.962356858985157
"96",2.28438701290094e-15,0.00563984972536461,NA,0.00166864712117273,NA,0.75309312240197,NA,0.602765212521417,0.0213544469472345,0.000583657813353437,0.00599056065504257,0.000171922962039357,0.864030872220561,NA,1.27407593536167e-11,0.0115981458510241,0.00102934686508376,0.00169568324390604,NA,0.72862630855626,NA,8.42986225206156e-11,0.00569227186451417,NA,0.00339912532727359,0.000313046883467866,0.763972219496645,NA,2.63410382639996e-06,0.00643224705273639,NA,0.00184579611032195,NA,0.530802552115334,0.98960487351638,1.63794731754895e-06,0.00844239619266512,0.00508217937823305,0.00166990948891416,NA,0.546379062389021,0.987491961412363,2.33743281917176e-06,0.00565572172206532,NA,0.00251902731127866,0.00138221604697916,0.559932166147533,0.986770082079704,0.397228177897578,0.0171816336105898,0.000640601814695216,0.00482147617812308,0.000185349816375896,0.79421312910227,0.896995726371978
